	true	false	gap	ext	matrix	t_min	f_min
337	0.68	0.76	18	2	PAM100	0.8698973504263933	2.8011172116665652
338	0.68	0.76	19	2	PAM100	0.8742121132284967	2.8082560759213315
339	0.68	0.76	20	2	PAM100	0.8787283298668662	2.8155511901760986
340	0.7	0.62	1	3	PAM100	2.7378013123669485	5.348924714646496
341	0.7	0.64	2	3	PAM100	2.396575544896127	5.130975598280608
342	0.7	0.64	3	3	PAM100	2.0734348348957616	4.844447573070105
343	0.7	0.64	4	3	PAM100	1.77259039960851	4.575205450867927
344	0.7	0.7	5	3	PAM100	1.514366768244322	4.520285424003836
345	0.7	0.8	6	3	PAM100	1.335748896432451	4.425027658736064
346	0.7	0.78	7	3	PAM100	1.255925543058011	4.316569603432457
347	0.7	0.8	8	3	PAM100	1.2035150705542776	4.246664680174036
348	0.7	0.78	9	3	PAM100	1.2140223535257884	4.185818387238583
349	0.7	0.76	10	3	PAM100	1.173341000635709	4.125924089255632
350	0.7	0.74	11	3	PAM100	1.1498128566017731	4.076389055152705
351	0.7	0.78	12	3	PAM100	1.1377514962286968	4.088228165521645
352	0.7	0.8	13	3	PAM100	1.1257946613990024	4.105284316673537
353	0.68	0.8	14	3	PAM100	1.1110110575604046	4.130771151314583
354	0.7	0.8	15	3	PAM100	1.1240161827272575	4.128225073174099
355	0.7	0.8	16	3	PAM100	1.1253850388905136	4.127520017894587
356	0.7	0.8	17	3	PAM100	1.1270136353135094	4.129584635942226
357	0.7	0.8	18	3	PAM100	1.1297858872845976	4.134482835592179
358	0.7	0.8	19	3	PAM100	1.133491919927971	4.140530519225105
359	0.7	0.8	20	3	PAM100	1.1376257081491001	4.147432696708552
360	0.7	0.62	1	4	PAM100	3.5651558099044967	7.088991033212817
361	0.7	0.64	2	4	PAM100	3.219612354075739	6.890628203434504
362	0.7	0.64	3	4	PAM100	2.886518344283979	6.590025954665606
363	0.7	0.72	4	4	PAM100	2.567493383031319	6.617646918573862
364	0.7	0.76	5	4	PAM100	2.264993295714275	6.509042073786211
365	0.7	0.78	6	4	PAM100	1.9862175635469785	6.260680000138873
366	0.7	0.78	7	4	PAM100	1.76391884304812	5.975239995049342
367	0.7	0.86	8	4	PAM100	1.6075196722833018	5.887135313276673
368	0.7	0.84	9	4	PAM100	1.5186096764695802	5.794232933885475
369	0.7	0.82	10	4	PAM100	1.4992733355856824	5.6547758552844645
370	0.7	0.84	11	4	PAM100	1.4831159214442837	5.6093705023349205
371	0.7	0.84	12	4	PAM100	1.474938864272561	5.5772505326503286
372	0.7	0.88	13	4	PAM100	1.448378682623798	5.597480888428504
373	0.7	0.9	14	4	PAM100	1.433182160791545	5.598474827481939
374	0.68	0.9	15	4	PAM100	1.4084521748543433	5.569776358772213
375	0.7	0.86	16	4	PAM100	1.4060428130981526	5.516628219236858
